city,lat,lon,temp,humidity,wind,cloudiness,country
Ribeira Grande,38.52,-28.7,74.1,90,11.9,10,PT
Busselton,-33.65,115.33,58.15,65,4.5,99,AU
Jinchang,38.5,102.17,75.06,29,10.71,97,CN
Lock Haven,41.14,-77.45,87.01,43,3.0,45,US
Rikitea,-23.12,-134.97,72.27,77,18.07,96,PF
Tabou,4.42,-7.35,75.27,84,8.39,90,CI
Thompson,55.74,-97.86,69.8,60,8.05,75,CA
Loikaw,19.67,97.21,69.01,93,1.41,90,MM
Kapaa,22.08,-159.32,82.99,74,20.8,90,US
Mataura,-46.19,168.86,50.0,76,5.01,51,NZ
Khatanga,71.97,102.5,56.97,57,3.51,0,RU
Saint Paul Harbor,57.79,-152.41,68.0,52,5.82,1,US
Rawson,-43.3,-65.1,44.62,61,9.01,0,AR
Mar del Plata,-38.0,-57.56,45.0,81,8.05,40,AR
Cacequi,-29.88,-54.83,42.26,78,7.74,0,BR
Biak,-0.91,122.88,76.42,81,8.34,92,ID
Bredasdorp,-34.53,20.04,50.0,87,3.36,0,ZA
Provideniya,64.38,-173.3,50.0,71,11.18,90,RU
Vitry-le-François,48.73,4.58,62.6,59,2.24,98,FR
Ushuaia,-54.8,-68.3,35.6,95,18.34,75,AR
Dikson,73.51,80.55,44.02,83,16.02,97,RU
Nikolskoye,59.7,30.79,61.0,87,3.6,93,RU
Artyom,40.47,50.33,78.8,83,4.7,51,AZ
Chaparral,3.72,-75.48,78.19,55,1.79,2,CO
Port Alfred,-33.59,26.89,59.94,77,10.31,2,ZA
Ambilobe,-13.2,49.05,70.9,88,3.53,47,MG
Narsaq,60.92,-46.05,50.0,76,5.82,99,GL
Bantry,51.68,-9.45,53.6,76,9.17,20,IE
Longyearbyen,78.22,15.64,60.8,67,6.93,100,SJ
Vaini,-21.2,-175.2,71.6,68,18.34,40,TO
Atuona,-9.8,-139.03,80.51,69,23.62,3,PF
Avarua,-21.21,-159.78,71.6,83,6.93,29,CK
Souillac,-20.52,57.52,69.8,83,6.93,75,MU
Mbuji-Mayi,-6.15,23.6,72.07,31,1.41,0,CD
Pangody,65.85,74.49,50.07,84,8.77,99,RU
Novoagansk,61.94,76.66,46.87,90,4.74,61,RU
Carlsbad,33.16,-117.35,78.01,64,9.17,1,US
Upernavik,72.79,-56.15,43.25,84,9.66,91,GL
Bethel,41.37,-73.41,84.2,54,9.17,1,US
Stony Plain,53.53,-114.0,84.99,58,6.93,1,CA
Rome,43.21,-75.46,80.6,39,14.99,1,US
Kamenka,51.32,42.77,63.0,64,7.14,0,RU
Hilo,19.73,-155.09,82.4,61,11.41,20,US
Beringovskiy,63.05,179.32,62.11,62,7.18,16,RU
Saldanha,-33.01,17.94,50.0,76,4.7,0,ZA
Yining,29.04,114.56,78.1,89,0.85,70,CN
Jamestown,42.1,-79.24,77.0,53,10.29,1,US
East London,-33.02,27.91,62.83,69,13.6,0,ZA
Riyadh,24.69,46.72,96.8,26,5.82,28,SA
Punta Arenas,-53.15,-70.92,37.4,69,3.36,30,CL
Lüderitz,-26.65,15.16,57.2,82,11.41,0,NA
Arraial do Cabo,-22.97,-42.03,73.15,77,20.89,0,BR
Barrow,71.29,-156.79,41.0,86,21.92,90,US
Nanortalik,60.14,-45.24,47.08,93,9.75,95,GL
Salinópolis,-0.61,-47.36,79.38,85,14.18,35,BR
Port Elizabeth,-33.92,25.57,57.2,87,9.17,12,ZA
Cabo San Lucas,22.89,-109.91,91.4,78,19.46,75,MX
Maralal,1.1,36.7,54.91,91,3.74,46,KE
Tuktoyaktuk,69.45,-133.04,48.2,93,9.17,90,CA
The Valley,18.22,-63.06,86.0,70,17.22,40,AI
Cayenne,4.93,-52.33,82.4,78,14.88,33,GF
Hobart,-42.88,147.33,42.8,81,12.75,75,AU
Jalu,29.03,21.55,76.42,65,11.14,0,LY
Arrondissement de Troyes,48.33,4.08,60.8,63,2.24,90,FR
New Norfolk,-42.78,147.06,42.01,93,2.95,100,AU
Bolshoye Nagatkino,54.52,47.97,59.0,87,4.47,0,RU
San Matías,-16.37,-58.4,83.28,36,5.75,67,BO
Vestmannaeyjar,63.44,-20.27,51.85,92,5.59,99,IS
Kruisfontein,-34.0,24.73,57.0,85,1.01,30,ZA
Kutum,14.2,24.67,75.54,69,22.46,65,SD
Fare,-16.7,-151.02,79.2,77,19.57,81,PF
Kloulklubed,7.04,134.26,75.2,94,3.31,90,PW
Kavieng,-2.57,150.8,84.69,67,9.71,66,PG
Hermanus,-34.42,19.23,44.01,94,5.3,2,ZA
Yumen,40.28,97.2,73.53,37,6.49,100,CN
Olafsvik,64.89,-23.71,49.42,82,7.05,41,IS
Paysandu,-32.32,-58.08,46.0,56,4.59,0,UY
Abadan,38.05,58.21,82.4,48,4.7,0,TM
Djibouti,11.5,42.5,86.0,70,4.54,1,DJ
Caravelas,-17.71,-39.25,69.58,81,3.44,34,BR
Minot,48.23,-101.3,82.4,39,4.7,1,US
Athabasca,54.72,-113.29,80.83,61,4.14,0,CA
Havøysund,71.0,24.66,68.0,56,16.11,95,NO
Waipawa,-41.41,175.52,53.6,81,4.7,100,NZ
Les Cayes,18.2,-73.75,84.51,72,2.8,10,HT
Mahajanga,-15.72,46.32,75.61,66,7.58,19,MG
Dashitou,43.31,128.51,66.34,84,6.89,86,CN
Tasiilaq,65.61,-37.64,41.0,100,6.93,42,GL
Basi,26.83,76.03,86.0,70,2.24,40,IN
Yellowknife,62.46,-114.35,75.0,46,11.41,40,CA
Vila Franca do Campo,37.72,-25.43,73.4,94,4.7,75,PT
Bluff,-46.6,168.33,50.0,76,5.01,80,NZ
Grand Gaube,-20.01,57.66,70.0,78,5.01,12,MU
Puerto Ayora,-0.74,-90.35,66.99,95,4.0,88,EC
Gravdal,68.12,13.5,59.7,74,8.1,12,NO
Quryq,43.2,51.65,80.15,24,15.43,72,KZ
Sitka,57.05,-135.33,62.6,72,5.95,75,US
Nhulunbuy,-12.23,136.77,75.2,53,16.11,87,AU
Hearst,49.68,-83.67,61.74,88,7.16,99,CA
Faanui,-16.48,-151.75,79.38,75,21.7,100,PF
Hudson Bay,52.85,-102.38,79.95,46,1.19,0,CA
Kodino,63.72,39.64,54.79,85,5.26,90,RU
Chokurdakh,70.63,147.92,44.2,77,11.61,100,RU
Tocopilla,-22.09,-70.2,58.78,57,3.24,16,CL
Bandar-e Lengeh,26.56,54.88,90.32,60,4.43,0,IR
Leningradskiy,69.38,178.42,42.85,65,5.44,54,RU
Guerrero Negro,27.98,-114.06,76.19,58,19.26,3,MX
Bambous Virieux,-20.34,57.76,70.0,83,6.93,75,MU
Chebenki,51.93,55.71,55.4,82,4.47,0,RU
Laas,46.62,10.7,61.0,87,4.7,40,IT
Coyhaique,-45.58,-72.07,37.4,69,4.7,55,CL
Tuni,17.35,82.55,81.91,86,3.2,100,IN
Forsytheganj,52.63,29.73,64.63,92,6.85,42,BY
Luganville,-15.53,167.17,80.6,78,9.17,75,VU
Lagoa,39.05,-27.98,73.56,90,14.2,0,PT
Ilulissat,69.22,-51.1,46.4,70,6.93,87,GL
Mayumba,-3.43,10.66,73.47,75,7.72,86,GA
Victor Harbor,-35.57,138.62,48.0,86,9.69,0,AU
Kurchanskaya,45.22,37.59,66.2,93,6.71,40,RU
George Town,5.41,100.34,78.8,83,6.93,40,MY
Chandler,33.31,-111.84,114.01,16,4.7,20,US
Torbay,47.67,-52.73,59.0,82,5.82,75,CA
Albany,42.6,-73.97,82.99,44,6.26,100,US
Beyneu,45.32,55.2,71.29,33,9.75,0,KZ
Chui,-33.7,-53.46,42.98,76,8.9,6,UY
Talnakh,69.49,88.4,51.8,71,4.47,40,RU
